"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
711597,"November 27, 2016",Louisiana,"New Orleans","100 block of Bourbon Street",9,1,0,0,3,N/A
711744,"November 27, 2016",Missouri,"Kansas City","Gregory and Prospect",7,0,0,0,0,N/A
710732,"November 26, 2016",Illinois,Chicago,"8800 block of S Exchange Ave",5,1,0,0,0,N/A
710467,"November 25, 2016",Louisiana,"New Orleans","Magnolia St and Felicity St",4,0,0,0,0,N/A
709370,"November 24, 2016",Kentucky,Louisville,"4501 W Broadway",4,2,0,0,0,N/A
709276,"November 24, 2016","New York",Albany,"77 Central Ave",3,1,0,0,1,N/A
708777,"November 23, 2016",Mississippi,"Olive Branch","928 Cross Road",4,0,0,0,1,N/A
708392,"November 22, 2016",Florida,Clewiston,"1068 Harlem Academy Ave",4,1,0,0,3,N/A
704568,"November 18, 2016",Illinois,Chicago,"5000 block of W Wabansia",4,0,0,0,0,N/A
703245,"November 17, 2016",Tennessee,Dyersburg,"160 Longfellow",7,1,0,0,1,N/A
699605,"November 13, 2016",Florida,Jacksonville,"5105 Cleveland Rd",2,3,0,0,1,N/A
699332,"November 13, 2016",Texas,"San Antonio","8000 Midcrown",4,0,0,0,0,N/A
700232,"November 13, 2016",California,"San Diego","3800 block of Marlborough Avenue",2,2,0,1,0,N/A
699316,"November 13, 2016",Florida,Orlando,"Conley Street and South Ivey Lane",4,0,0,0,0,N/A
699033,"November 12, 2016",California,Sacramento,"8600 block of Ardith Drive",5,1,0,0,0,N/A
700363,"November 12, 2016",Missouri,"Kansas City","21st St and Cleveland Ave",3,1,0,0,1,N/A
699303,"November 12, 2016",Connecticut,Bridgeport,"2500 Park Avenue",5,0,0,0,2,N/A
699863,"November 11, 2016",Texas,Houston,"7705 Channelside Street",4,0,0,0,0,N/A
698383,"November 10, 2016",Texas,Houston,"6610 S Sam Houston Pkwy W",3,1,0,0,1,N/A
696917,"November 9, 2016",Washington,Seattle,"1524 3rd Ave",5,0,0,0,1,N/A
697377,"November 9, 2016",Illinois,Chicago,"3400 block of W Monroe",3,1,0,0,0,N/A
696352,"November 9, 2016",Tennessee,Memphis,"1800 block of East Brooks Road",4,0,0,0,0,N/A
693438,"November 5, 2016",Texas,"San Antonio","10726 Perrin Beitel Rd",4,0,0,0,0,N/A
