"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
858810,"June 3, 2017",Missouri,"Saint Louis","1600 Block of Union Blvd",2,2,0,0,1,N/A
858719,"June 3, 2017",Louisiana,"New Orleans","3717 Tulane Ave",2,3,0,0,0,N/A
858877,"June 2, 2017",California,"Los Angeles","89th St and Broadway",3,1,0,0,0,N/A
857443,"June 1, 2017",Missouri,"Saint Louis","Beacon Ave and Lillian Ave",1,3,0,0,1,N/A
855764,"May 30, 2017",Ohio,Middletown,"1200 Elliott Dr",3,1,0,0,1,N/A
855113,"May 29, 2017",Kentucky,Louisville,"231 Witherspoon St",3,1,0,0,0,N/A
853901,"May 28, 2017",Alabama,"Phenix City","100 block of 6th Street South",12,0,0,0,0,N/A
853796,"May 28, 2017","New Jersey",Paterson,"86 Main Street",5,1,0,0,0,N/A
853920,"May 28, 2017",Mississippi,"Moss Point","6103 Hwy. 63",5,0,0,0,1,N/A
853032,"May 27, 2017","New York","New York (Manhattan)","318 W 14th St",4,0,0,0,1,N/A
853756,"May 27, 2017",Mississippi,"Bogue Chitto","2871 Lee Dr",0,8,1,0,1,N/A
853119,"May 27, 2017","District of Columbia",Washington,"100 block of Q St NW",7,1,0,0,0,N/A
852676,"May 26, 2017",Florida,Miami,"2730 NW 167th St",4,0,0,0,0,N/A
848680,"May 21, 2017",Iowa,"Des Moines","4300 Beaver Dr",3,1,0,0,0,N/A
849215,"May 21, 2017",Arizona,Mesa,"441 N Val Vista Dr",4,0,0,0,0,N/A
848292,"May 20, 2017",Pennsylvania,Philadelphia,"2100 block of W Huntingdon St",10,0,0,0,2,N/A
845364,"May 16, 2017","South Carolina",Ruffin,"21785 Lowcountry Hwy",1,3,0,0,1,N/A
843078,"May 14, 2017",Arkansas,Jonesboro,"311 S Main St",6,1,0,0,2,N/A
843045,"May 14, 2017",Illinois,Dolton,"14112 Chicago Road",4,0,1,0,0,N/A
843172,"May 14, 2017",Florida,"Avon Park","Hal McRae Blvd and Delaney Ave",5,0,0,0,0,N/A
843590,"May 14, 2017",Texas,"Fort Worth","8600 block of Calmont Ave",4,0,0,0,0,N/A
840339,"May 10, 2017","New Jersey",Trenton,"300 block of Centre St",3,1,0,0,1,N/A
839846,"May 9, 2017",Kansas,"Kansas City","1900 block of S. Boeke",1,3,0,0,1,N/A
838272,"May 7, 2017",Illinois,Chicago,"2600 block of 46th Pl",8,2,0,0,0,N/A
835961,"May 4, 2017",Michigan,Flint,"600 block of Copeman Boulevard",3,1,0,0,1,N/A
834832,"May 2, 2017",Florida,Jacksonville,"1566 West 24th Street",3,1,0,0,0,N/A
833152,"May 1, 2017",Texas,Dallas,"3200 block of Reynolds Ave",3,1,0,1,0,N/A
832679,"April 30, 2017",California,"San Diego","9080 Judicial Dr",6,1,0,1,0,N/A
832528,"April 30, 2017",Kansas,Topeka,"4104 SW 28th",1,3,0,1,0,N/A
833128,"April 30, 2017",Florida,Jacksonville,"1200 Ken Knight Dr N",5,0,0,0,0,N/A
832309,"April 30, 2017","South Carolina",Loris,"268 N Sea Green Rd",5,1,0,0,2,N/A
835459,"April 29, 2017",California,"Los Angeles (Boyle Heights)","Murchison St and Lancaster Ave",3,1,0,0,0,N/A
831800,"April 29, 2017",California,Whittier,"10000 block of Carmentia Rd",3,1,2,0,2,N/A
832290,"April 29, 2017",California,Sacramento,"3800 block of 26th Avenue",5,0,0,0,0,N/A
831667,"April 29, 2017",Maryland,Germantown,"12839 Kitchen House Way",3,1,0,0,2,N/A
834788,"April 29, 2017",California,Compton,"2000 Block of N Nestor Ave",4,0,0,0,0,N/A
832063,"April 29, 2017",Virginia,"Virginia Beach","200 block of 18th St",4,0,0,0,0,N/A
831201,"April 28, 2017",Pennsylvania,Chester,"5 E 21st St",4,0,0,0,0,N/A
830984,"April 27, 2017","New Jersey",Newark,"1100 block of S Orange Ave",3,1,0,0,0,N/A
829073,"April 26, 2017",Florida,Miami,"SW 264th St and 139th Ave",4,0,0,0,2,N/A
825694,"April 21, 2017",Florida,"Palm Bay","2500 block of Vernon Dr",2,2,0,0,1,N/A
825111,"April 20, 2017",Kentucky,Louisville,"700 block of East Jacob Street",4,0,0,0,0,N/A
821667,"April 16, 2017",California,Vallejo,"110 Calhoun Street",4,0,0,0,0,N/A
821723,"April 16, 2017","North Carolina","Elizabeth City","611 S Martin St",4,0,0,0,0,N/A
821371,"April 16, 2017",Ohio,Columbus,"1710 Cleveland Av",9,0,0,0,0,N/A
821640,"April 15, 2017",Illinois,"Rock Falls","311 W  2nd St",4,0,0,0,1,N/A
821055,"April 15, 2017",Pennsylvania,Philadelphia,"5900 block of Hammond St",4,0,0,0,0,N/A
820565,"April 15, 2017",Indiana,Indianapolis,"300 block of S Meridian St",4,0,0,0,1,N/A
821400,"April 15, 2017",Alabama,Birmingham,"1480 Center Point Pkwy",6,0,0,0,1,N/A
821651,"April 15, 2017",Illinois,Harvey,"14600 block of Myrtle Avenue",4,0,0,0,0,N/A
822750,"April 15, 2017",California,Banning,"900 block of N Allen St",4,0,0,0,0,N/A
818932,"April 13, 2017",Georgia,Atlanta,"30 Anderson Ave SW",3,1,0,0,1,N/A
815227,"April 9, 2017",Texas,"San Antonio","4000 block of Moss Spring Dr",3,1,0,0,0,N/A
815246,"April 9, 2017",Indiana,"Fort Wayne","9439 Lima Rd",3,1,0,0,1,N/A
813877,"April 7, 2017","North Carolina",Hickory,"1423 29th Ave Dr NE",1,3,0,0,2,N/A
813943,"April 7, 2017",Minnesota,"Saint Paul","1600 block of English St",1,3,0,1,1,N/A
814094,"April 7, 2017",Illinois,Chicago,"5600 block of W Lake St",5,1,0,0,0,N/A
813821,"April 7, 2017",Texas,Houston,"3829 Mount Pleasant St",0,4,0,1,0,N/A
813028,"April 6, 2017",Louisiana,"Lake Charles","2000 block of Tulip St",3,1,0,0,4,N/A
810756,"April 3, 2017",Pennsylvania,Philadelphia,"1100 block of W Stiles St",1,3,0,0,0,N/A
811089,"April 3, 2017",Texas,Lubbock,"5401 Ave Q",7,0,0,0,1,N/A
809978,"April 2, 2017",Illinois,Chicago,"3500 block of W Van Buren St",4,2,0,0,0,N/A
809683,"April 2, 2017",Iowa,"Des Moines","2500 Martin Luther King Jr. Parkway",5,0,0,0,0,N/A
809815,"April 1, 2017",California,Pittsburg,"100 block of Madoline Street",5,0,0,0,1,N/A
809048,"April 1, 2017",Florida,Tampa,"219 S Howard Ave",4,1,0,0,1,N/A
809499,"April 1, 2017",Oklahoma,"Oklahoma City","1212 N Woodward Ave",3,2,0,0,1,N/A
807618,"March 30, 2017",Illinois,Chicago,"2704 E 75th St",0,4,0,0,0,N/A
804115,"March 27, 2017",Florida,Sanford,"209 Hays Dr",4,2,0,0,1,N/A
803689,"March 26, 2017",Ohio,Cleveland,"E 75th St",2,2,0,0,0,N/A
803822,"March 26, 2017",Texas,Houston,"5619 Aldine Bender Rd",4,2,0,0,1,N/A
803054,"March 26, 2017",Ohio,Cincinnati,"4601 Kellogg Ave",15,1,0,1,1,N/A
802926,"March 25, 2017",Tennessee,Knoxville,"Minnesota Ave",4,1,0,0,0,N/A
803460,"March 25, 2017",Michigan,Detroit,"8443 Grand River Ave",3,1,0,0,1,N/A
802837,"March 25, 2017",Ohio,Cleveland,"E 79th St and Woodland Ave",2,2,0,0,3,N/A
802425,"March 24, 2017",California,Fresno,"300 block of South Villa Avenue",4,1,0,0,1,N/A
802240,"March 24, 2017",Missouri,"Saint Louis","5100 block of Palm St",6,1,0,0,0,N/A
800363,"March 22, 2017",Wisconsin,Rothschild,"1133 E Grand Ave",0,4,0,1,0,N/A
797553,"March 19, 2017",Kentucky,Louisville,"1512 Portland Avenue",5,1,0,0,0,N/A
797125,"March 18, 2017",Michigan,Detroit,"16000 block of Rutherford",1,3,1,0,1,N/A
794468,"March 15, 2017",Louisiana,Metairie,"2508 Pasadena Ave",1,3,0,0,1,N/A
791298,"March 10, 2017",Illinois,Chicago,"123 E 51st St",2,2,0,0,0,N/A
791274,"March 10, 2017",Louisiana,"New Orleans (Gentilly)","4200 block of Touro St",1,3,0,0,0,N/A
789798,"March 7, 2017",Illinois,Chicago,"W 76th St and S May St",4,0,0,0,0,N/A
789424,"March 5, 2017",Georgia,Columbus,"600 block of 32nd Street",4,0,0,0,0,N/A
787875,"March 4, 2017",Kansas,Topeka,"SE Bellview Ave and SE 23rd St",4,1,0,0,1,N/A
787801,"March 4, 2017",California,Sacramento,"2500 block of 33rd St",4,0,0,0,0,N/A
786876,"March 3, 2017",Pennsylvania,Philadelphia,"7165 Germantown Ave",4,0,0,0,0,N/A
787435,"March 3, 2017",California,Riverside,"8300 block of Trey Ave",5,0,0,0,0,N/A
785262,"February 28, 2017",Ohio,Cincinnati,"1700 of Casey Dr",6,0,0,0,0,N/A
783963,"February 27, 2017",Virginia,"Newport News","11810 Fountain Way",4,0,0,0,0,N/A
783623,"February 26, 2017",Indiana,Gary,"1700 Grant St",4,1,0,0,1,N/A
783102,"February 25, 2017",Ohio,Warren,"1564 Niles Cortland Rd SE",3,2,0,0,1,N/A
783090,"February 25, 2017",Florida,Jacksonville,"3604 Moncrief Rd",4,1,0,0,0,N/A
780792,"February 22, 2017","New York",Rochester,"191 Genesee St",4,0,0,0,0,N/A
780036,"February 21, 2017",Ohio,Cleveland,"16700 Lorain Ave",4,0,0,0,2,N/A
779582,"February 21, 2017",Mississippi,Toomsuba,"Butts Road",0,4,0,0,1,N/A
778941,"February 20, 2017",Ohio,Cleveland,"1082 East 105th Street",5,0,0,0,0,N/A
778182,"February 19, 2017",Virginia,Norfolk,"Church Street and East Virginia Beach Blvd",3,1,0,0,0,N/A
777876,"February 18, 2017",Pennsylvania,Philadelphia,"50 block of N Conestoga St",4,0,0,0,0,N/A
777410,"February 18, 2017",Indiana,"South Bend","1000 block of Yukon St",3,1,0,0,0,N/A
775903,"February 15, 2017",California,Salinas,"30 Soledad Street",4,0,0,0,1,N/A
775531,"February 15, 2017",Illinois,Chicago,"3949 South Albany Avenue",1,3,1,0,1,N/A
773002,"February 12, 2017",Missouri,Caruthersville,"908 Truman Blvd",5,1,1,0,1,N/A
773162,"February 12, 2017","New York",Newburgh,"253 South William Street",3,1,0,0,0,N/A
773908,"February 12, 2017",Florida,Greenville,"Church Ave and Obadiah St",5,0,0,0,0,N/A
772753,"February 11, 2017",Illinois,Chicago,"100 block of N Mayfield",3,1,0,0,0,N/A
772989,"February 11, 2017",Tennessee,Savannah,"Clifton Road and Midway Drive",4,0,0,0,0,N/A
772067,"February 10, 2017",Louisiana,"New Orleans","2nd St and Dryades St",5,1,0,0,0,N/A
771826,"February 9, 2017",Mississippi,Jackson,"3150 Robinson Road",0,2,0,2,0,N/A
769889,"February 8, 2017",Ohio,Cleveland,"16379 Euclid Ave",4,1,0,0,1,N/A
769511,"February 7, 2017","South Carolina",Columbia,"5500 block of Fairfield Road",4,0,0,0,0,N/A
769859,"February 7, 2017",Arkansas,"Little Rock","25 Par Drive",3,1,1,0,2,N/A
768243,"February 6, 2017",Mississippi,"Yazoo City","11th Street",0,4,0,0,1,N/A
765559,"January 31, 2017",Tennessee,Memphis,"1576 S White Station Rd",4,0,0,0,1,N/A
765153,"January 31, 2017","District of Columbia",Washington,"2900 block of Martin Luther King Jr Ave SE",4,0,0,0,0,N/A
764020,"January 30, 2017",Minnesota,"Minneapolis (Crystal)","5410 Lakeland Ave N",4,0,0,0,3,N/A
763313,"January 29, 2017",Louisiana,Shreveport,"6363 Hearne Ave",3,1,1,0,1,N/A
1025158,"January 27, 2017",Washington,Bremerton,"Tenino Dr W",0,4,0,0,3,N/A
761973,"January 27, 2017",Tennessee,Brownsville,"221 Morgan St",10,0,0,0,1,N/A
760482,"January 26, 2017",Georgia,Albany,"1510 Maryland Drive",3,2,0,0,1,N/A
760259,"January 25, 2017",Illinois,Chicago,"500 block of E 75th St",6,0,0,0,0,N/A
757158,"January 22, 2017",Texas,Manvel,"200 block of Oak Shore Dr",2,2,0,1,0,N/A
757032,"January 22, 2017",Illinois,"Chicago (Englewood)","1800 block of W 63rd",4,0,0,0,0,N/A
757001,"January 22, 2017",Georgia,Atlanta,"2841 Greenbriar Pkwy SW",1,3,0,0,0,N/A
756801,"January 21, 2017",Georgia,Jonesboro,"6510 Tara Blvd",6,0,0,0,0,N/A
756526,"January 21, 2017",Florida,"Boynton Beach","500 NE 2nd St",5,0,0,0,0,N/A
756504,"January 21, 2017",Tennessee,Memphis,"500 block of Delta Road",2,2,0,0,0,N/A
757955,"January 20, 2017",Mississippi,Como,"Smart Road",4,1,0,0,0,N/A
756015,"January 20, 2017",California,Fresno,"4700 block of E Montecito Ave",4,0,0,0,0,N/A
752756,"January 16, 2017",Texas,Houston,"8535 Martin Luther King Boulevard",4,0,0,0,0,N/A
752222,"January 16, 2017",Florida,Miami,"6011 NW 32nd Ave",8,0,0,0,4,N/A
752249,"January 15, 2017",Colorado,Capulin,"County Road Y",1,3,0,0,1,N/A
751367,"January 15, 2017",Mississippi,Magnolia,"6000 block of Church Road",4,1,0,0,1,N/A
749361,"January 12, 2017",Missouri,"Kansas City","8607 E 61st Terrace",2,3,0,0,0,N/A
749769,"January 12, 2017",California,Salinas,"500 block of Sunrise St",2,2,0,0,0,N/A
748152,"January 11, 2017","New Jersey",Newark,"Hawkins Street and Christie Street",3,1,0,0,1,N/A
748348,"January 11, 2017",Illinois,Chicago,"4200 block of S Talman",3,1,0,0,0,N/A
745236,"January 7, 2017",Michigan,Flint,"2500 block of Churchill Ave",3,1,0,0,1,N/A
744799,"January 6, 2017",California,Pasadena,"100 block of W Claremont St",2,2,0,0,5,N/A
743995,"January 6, 2017",Florida,"Fort Lauderdale","100 Terminal Dr",6,5,0,0,1,N/A
742542,"January 4, 2017",California,Fontana,"14520 Village Dr",1,3,0,0,1,N/A
742001,"January 3, 2017",Texas,Allen,"500 block of Hawthorne Drive",4,0,0,0,1,N/A
743282,"January 1, 2017",Mississippi,Winstonville,"114 North Greyer Street",5,0,0,0,0,N/A
739451,"January 1, 2017",Texas,Dallas,"9220 Skillman Street",3,1,0,0,0,N/A
739766,"January 1, 2017",Florida,Miami,"8000 block of NW 14th Ave",7,0,0,0,0,N/A
