"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
1564524,"December 4, 2019",Alabama,Montgomery,"500 Eastdale Rd S",2,2,0,0,0,N/A
1562685,"December 1, 2019",Michigan,Kalamazoo,"6300 block of Proctor St",3,1,0,0,1,N/A
1562043,"December 1, 2019",Louisiana,"Cotton Valley","116 Hawthorne Loop",3,2,0,0,1,N/A
1561966,"December 1, 2019",Louisiana,"New Orleans","2000 block of N Dorgenois St",2,2,0,0,0,N/A
1561813,"December 1, 2019",Illinois,Aurora,"700 block of S 5th St",4,1,0,0,0,N/A
1561734,"December 1, 2019",Louisiana,"New Orleans","700 block of Canal St",11,0,1,0,2,N/A
1561398,"November 30, 2019",Arkansas,Hensley,"6500 block of E Sardis Rd",5,0,0,0,1,N/A
1560645,"November 29, 2019",Texas,Amarillo,"2650 Dumas Dr",7,0,0,0,0,N/A
1559257,"November 27, 2019","New York",Bronx,"E 153rd St and Courtlandt Ave",5,0,0,0,1,N/A
1558067,"November 25, 2019",Florida,Brownsville,"NW 29th Ave and 44th St",2,2,0,0,2,N/A
1557006,"November 24, 2019",Alabama,Birmingham,"7 15th St W",4,1,0,0,0,N/A
1556633,"November 24, 2019",California,"Los Angeles","100 block of E 11th St",6,0,0,0,0,N/A
1556984,"November 24, 2019",Louisiana,Cottonport,"3846 LA-29",2,2,0,0,1,N/A
1555879,"November 23, 2019",California,"Los Angeles","833 S Spring St",4,0,0,0,1,N/A
1556002,"November 23, 2019",Louisiana,Tallulah,"Depot St",6,1,0,0,1,N/A
1554807,"November 21, 2019",Washington,Everett,"120 West Casino Rd",4,0,0,0,1,N/A
1555135,"November 21, 2019",California,"Long Beach","1100 block of 10th St",5,0,0,0,0,N/A
1554446,"November 20, 2019",California,Richmond,"20th St and Roosevelt Ave",4,0,0,0,0,N/A
1552068,"November 18, 2019","New Jersey",Newark,"139 S 8th St",4,1,0,0,0,N/A
1551531,"November 17, 2019",California,Fresno,"5361 E Lamona Ave",6,4,0,0,4,N/A
1551162,"November 17, 2019",Ohio,Cleveland,"7100 block of Lawn Ave",4,0,0,0,0,N/A
1550546,"November 16, 2019",California,"San Diego","2152 Flintridge Dr",0,5,0,1,0,N/A
1548689,"November 14, 2019",California,"Santa Clarita","21900 Centurion Way",3,2,0,1,0,N/A
1547021,"November 11, 2019",Florida,"Belle Glade","SW 7th St",4,0,0,0,0,N/A
1546102,"November 10, 2019",Missouri,"Kansas City","4704 Independence Ave",4,0,0,0,0,N/A
1546038,"November 10, 2019",Tennessee,Memphis,"2080 E. Brooks Rd",4,1,0,0,0,N/A
1546155,"November 10, 2019",Arkansas,"Little Rock","3000 block of W 12th St",4,0,0,0,0,N/A
1545955,"November 9, 2019",Michigan,Detroit,"3800 block of E McNichols Rd",4,0,0,0,0,N/A
1546508,"November 9, 2019",Georgia,Vidalia,"Wiggins St",4,0,0,0,2,N/A
1543835,"November 7, 2019",Georgia,Conyers,"1800 block of Green St",3,1,0,1,0,N/A
1541774,"November 4, 2019",Texas,Houston,"5000 block of Northridge Dr",3,1,1,0,0,N/A
1540863,"November 3, 2019",Ohio,Toledo,"600 block of Magnolia St",4,0,0,0,0,N/A
